plant,image name,attribute
Tomato,tomato.png,"<a href=""https://www.flaticon.com/free-icons/tomato"" title=""tomato icons"">Tomato icons created by Flat Icons Design - Flaticon</a>"
Bell Pepper,bell-pepper.png,"<a href=""https://www.flaticon.com/free-icons/pepper"" title=""pepper icons"">Pepper icons created by monkik - Flaticon</a>"
Cucumber,cucumber.png,"<a href=""https://www.flaticon.com/free-icons/cucumber"" title=""cucumber icons"">Cucumber icons created by Freepik - Flaticon</a>"
Zucchini,zucchini.png,"<a href=""https://www.flaticon.com/free-icons/zucchini"" title=""zucchini icons"">Zucchini icons created by Freepik - Flaticon</a>"
Bush Beans,beans.png,"<a href=""https://www.flaticon.com/free-icons/string"" title=""string icons"">String icons created by Freepik - Flaticon</a>"
Lettuce (Leaf),lettuce.png,"<a href=""https://www.flaticon.com/free-icons/lettuce"" title=""lettuce icons"">Lettuce icons created by afitrose - Flaticon</a>"
Kale,kale.png,"<a href=""https://www.flaticon.com/free-icons/kale"" title=""kale icons"">Kale icons created by monkik - Flaticon</a>"
Spinach,spinach.png,"<a href=""https://www.flaticon.com/free-icons/spinach"" title=""spinach icons"">Spinach icons created by monkik - Flaticon</a>"
Radishes,radishes.png,"<a href=""https://www.flaticon.com/free-icons/radishes"" title=""radishes icons"">Radishes icons created by monkik - Flaticon</a>"
Carrots,carrot.png,"<a href=""https://www.flaticon.com/free-icons/carrot"" title=""carrot icons"">Carrot icons created by monkik - Flaticon</a>"
Strawberry,strawberry.png,"<a href=""https://www.flaticon.com/free-icons/strawberry"" title=""strawberry icons"">Strawberry icons created by juicy_fish - Flaticon</a>"
Garlic,garlic.png,"<a href=""https://www.flaticon.com/free-icons/garlic"" title=""garlic icons"">Garlic icons created by Freepik - Flaticon</a>"
Basil,basil.png,"<a href=""https://www.flaticon.com/free-icons/basil"" title=""basil icons"">Basil icons created by Freepik - Flaticon</a>"
Rosemary,rosemary.png,"<a href=""https://www.flaticon.com/free-icons/rosemary"" title=""rosemary icons"">Rosemary icons created by Freepik - Flaticon</a>"
Chives,chive-blossoms.png,"<a href=""https://www.flaticon.com/free-icons/chive-blossoms"" title=""chive blossoms icons"">Chive blossoms icons created by iconixar - Flaticon</a>"
Parsley,parsley.png,"<a href=""https://www.flaticon.com/free-icons/parsley"" title=""parsley icons"">Parsley icons created by Freepik - Flaticon</a>"
Mint,mint.png,"<a href=""https://www.flaticon.com/free-icons/mint"" title=""mint icons"">Mint icons created by Freepik - Flaticon</a>"
Marigolds,marigold.png,"<a href=""https://www.flaticon.com/free-icons/marigold"" title=""marigold icons"">Marigold icons created by Freepik - Flaticon</a>"
Nasturtiums,nasturtium.png,"<a href=""https://www.flaticon.com/free-icons/flower"" title=""flower icons"">Flower icons created by IconBaandar - Flaticon</a>"
Zinnias,zinnia.png,"<a href=""https://www.flaticon.com/free-icons/flowers"" title=""flowers icons"">Flowers icons created by Freepik - Flaticon</a>"
Sunflower,sunflower.png,"<a href=""https://www.flaticon.com/free-icons/sunflower"" title=""sunflower icons"">Sunflower icons created by juicy_fish - Flaticon</a>"
